[09:17:10.445 18/12/1990]	N	0.742	N	[09:17:11.188 18/12/1990]
[09:17:11.188 18/12/1990]	N	0.734	N	[09:17:11.922 18/12/1990]
[09:17:11.922 18/12/1990]	N	0.742	N	[09:17:12.664 18/12/1990]
[09:17:12.664 18/12/1990]	N	0.727	N	[09:17:13.391 18/12/1990]
[09:17:13.391 18/12/1990]	N	0.734	N	[09:17:14.125 18/12/1990]
[09:17:14.125 18/12/1990]	N	0.711	N	[09:17:14.836 18/12/1990]
[09:17:14.836 18/12/1990]	N	0.711	N	[09:17:15.547 18/12/1990]
[09:17:15.547 18/12/1990]	N	0.719	N	[09:17:16.266 18/12/1990]
[09:17:16.266 18/12/1990]	N	0.727	N	[09:17:16.992 18/12/1990]
[09:17:16.992 18/12/1990]	N	0.711	N	[09:17:17.703 18/12/1990]
[09:17:17.703 18/12/1990]	N	0.703	N	[09:17:18.406 18/12/1990]
[09:17:18.406 18/12/1990]	N	0.711	N	[09:17:19.117 18/12/1990]
[09:17:19.117 18/12/1990]	N	0.719	N	[09:17:19.836 18/12/1990]
[09:17:19.836 18/12/1990]	N	0.711	N	[09:17:20.547 18/12/1990]
[09:17:20.547 18/12/1990]	N	0.703	N	[09:17:21.250 18/12/1990]
[09:17:21.250 18/12/1990]	N	0.703	N	[09:17:21.953 18/12/1990]
[09:17:21.953 18/12/1990]	N	0.711	N	[09:17:22.664 18/12/1990]
[09:17:22.664 18/12/1990]	N	0.719	N	[09:17:23.383 18/12/1990]
[09:17:23.383 18/12/1990]	N	0.703	N	[09:17:24.086 18/12/1990]
[09:17:24.086 18/12/1990]	N	0.711	N	[09:17:24.797 18/12/1990]
[09:17:24.797 18/12/1990]	N	0.711	N	[09:17:25.508 18/12/1990]
[09:17:25.508 18/12/1990]	N	0.367	V	[09:17:25.875 18/12/1990]
[09:17:25.875 18/12/1990]	V	1.039	N	[09:17:26.914 18/12/1990]
[09:17:26.914 18/12/1990]	N	0.703	N	[09:17:27.617 18/12/1990]
[09:17:27.617 18/12/1990]	N	0.703	N	[09:17:28.320 18/12/1990]
[09:17:28.320 18/12/1990]	N	0.703	N	[09:17:29.023 18/12/1990]
[09:17:29.023 18/12/1990]	N	0.375	V	[09:17:29.398 18/12/1990]
[09:17:29.398 18/12/1990]	V	1.039	N	[09:17:30.438 18/12/1990]
[09:17:30.438 18/12/1990]	N	0.695	N	[09:17:31.133 18/12/1990]
[09:17:31.133 18/12/1990]	N	0.703	N	[09:17:31.836 18/12/1990]
[09:17:31.836 18/12/1990]	N	0.719	N	[09:17:32.555 18/12/1990]
[09:17:32.555 18/12/1990]	N	0.695	N	[09:17:33.250 18/12/1990]
[09:17:33.250 18/12/1990]	N	0.711	N	[09:17:33.961 18/12/1990]
[09:17:33.961 18/12/1990]	N	0.383	V	[09:17:34.344 18/12/1990]
[09:17:34.344 18/12/1990]	V	1.062	N	[09:17:35.406 18/12/1990]
[09:17:35.406 18/12/1990]	N	0.711	N	[09:17:36.117 18/12/1990]
[09:17:36.117 18/12/1990]	N	0.727	N	[09:17:36.844 18/12/1990]
[09:17:36.844 18/12/1990]	N	0.711	N	[09:17:37.555 18/12/1990]
[09:17:37.555 18/12/1990]	N	0.711	N	[09:17:38.266 18/12/1990]
[09:17:38.266 18/12/1990]	N	0.719	N	[09:17:38.984 18/12/1990]
[09:17:38.984 18/12/1990]	N	0.719	N	[09:17:39.703 18/12/1990]
[09:17:39.703 18/12/1990]	N	0.711	N	[09:17:40.414 18/12/1990]
[09:17:40.414 18/12/1990]	N	0.711	N	[09:17:41.125 18/12/1990]
[09:17:41.125 18/12/1990]	N	0.750	N	[09:17:41.875 18/12/1990]
[09:17:41.875 18/12/1990]	N	0.703	N	[09:17:42.578 18/12/1990]
[09:17:42.578 18/12/1990]	N	0.711	N	[09:17:43.289 18/12/1990]
[09:17:43.289 18/12/1990]	N	0.391	V	[09:17:43.680 18/12/1990]
[09:17:43.680 18/12/1990]	V	1.062	N	[09:17:44.742 18/12/1990]
[09:17:44.742 18/12/1990]	N	0.727	N	[09:17:45.469 18/12/1990]
[09:17:45.469 18/12/1990]	N	0.727	N	[09:17:46.195 18/12/1990]
[09:17:46.195 18/12/1990]	N	0.719	N	[09:17:46.914 18/12/1990]
[09:17:46.914 18/12/1990]	N	0.398	V	[09:17:47.313 18/12/1990]
[09:17:47.313 18/12/1990]	V	1.047	N	[09:17:48.359 18/12/1990]
[09:17:48.359 18/12/1990]	N	0.719	N	[09:17:49.078 18/12/1990]
[09:17:49.078 18/12/1990]	N	0.375	V	[09:17:49.453 18/12/1990]
[09:17:49.453 18/12/1990]	V	1.039	N	[09:17:50.492 18/12/1990]
[09:17:50.492 18/12/1990]	N	0.719	N	[09:17:51.211 18/12/1990]
[09:17:51.211 18/12/1990]	N	0.719	N	[09:17:51.930 18/12/1990]
[09:17:51.930 18/12/1990]	N	0.711	N	[09:17:52.641 18/12/1990]
[09:17:52.641 18/12/1990]	N	0.391	V	[09:17:53.031 18/12/1990]
[09:17:53.031 18/12/1990]	V	1.047	N	[09:17:54.078 18/12/1990]
[09:17:54.078 18/12/1990]	N	0.711	N	[09:17:54.789 18/12/1990]
[09:17:54.789 18/12/1990]	N	0.711	N	[09:17:55.500 18/12/1990]
[09:17:55.500 18/12/1990]	N	0.719	N	[09:17:56.219 18/12/1990]
